"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 01-Dec-2023"
"NIFTY 500","23,315.80","23,358.20","23,221.70","23,277.95","23,312.10","-","34.15","0.15","2,46,95,63,152","86,933.96","24,573.40","18,582.95","2.64","24.61"
"ITI","286.00","340.10","285.05","283.50","321.00","-","37.50","13.23","7,61,44,071","2,436.53","384.30","210.00","26.61","4.44"
"HBLPOWER","631.05","708.00","628.20","633.15","675.35","-","42.20","6.67","2,59,19,914","1,770.80","724.00","376.05","13.25","62.16"
"MCX","6,529.90","7,048.60","6,425.80","6,488.25","6,904.00","-","415.75","6.41","12,79,120","878.72","7,048.60","2,917.85","-0.77","104.45"
"DELHIVERY","331.60","359.80","331.60","333.30","354.05","-","20.75","6.23","97,06,198","341.47","488.00","325.50","-5.82","-12.97"
"VEDL","475.00","505.55","472.80","472.50","501.40","-","28.90","6.12","2,58,27,158","1,280.17","523.65","240.80","0.57","89.42"
"BLUESTARCO","1,979.80","2,103.50","1,979.00","1,965.95","2,084.75","-","118.80","6.04","16,18,159","335.84","2,199.55","901.55","5.87","95.47"
"POLICYBZR","2,025.00","2,150.00","2,013.90","2,017.40","2,125.00","-","107.60","5.33","34,33,089","725.11","2,150.00","725.25","22.87","139.13"
"MINDACORP","504.00","536.00","499.70","500.75","527.00","-","26.25","5.24","12,59,400","66.23","652.00","365.85","-3.76","31.66"
"JINDALSAW","320.85","339.80","320.00","319.45","335.90","-","16.45","5.15","24,11,814","79.89","383.85","189.98","-1.80","-29.99"
"JUBLFOOD","662.05","697.15","659.15","662.05","695.00","-","32.95","4.98","43,27,934","295.90","715.45","421.05","11.84","19.11"
"IRFC","150.84","159.64","150.55","150.84","158.08","-","7.24","4.80","6,23,21,395","976.51","229.00","74.60","-0.40","99.00"
"RVNL","443.00","468.00","441.00","443.25","464.50","-","21.25","4.79","1,16,69,800","533.38","647.00","165.60","-1.70","159.44"
"RAILTEL","417.80","437.45","416.10","417.40","436.30","-","18.90","4.53","41,27,098","177.95","617.80","279.05","2.09","46.05"
"MMTC","80.59","85.88","80.20","80.18","83.70","-","3.52","4.39","1,13,72,771","95.74","131.80","50.50","2.97","58.15"
"DEVYANI","162.65","169.90","161.30","162.31","168.70","-","6.39","3.94","1,00,25,455","166.43","222.74","142.25","-5.69","-11.84"
"GPIL","206.00","221.66","206.00","205.92","214.00","-","8.08","3.92","85,96,542","186.79","244.79","131.60","4.18","-70.10"
"IEX","178.15","185.79","177.70","178.15","184.73","-","6.58","3.69","1,08,46,035","198.29","244.40","130.20","2.89","20.58"
"BSE","5,281.45","5,445.00","5,246.60","5,194.90","5,379.00","-","184.10","3.54","62,97,177","3,374.23","5,445.00","1,941.05","12.86","108.96"
"DEEPAKFERT","1,384.90","1,431.25","1,363.05","1,378.95","1,427.00","-","48.05","3.48","11,97,976","167.79","1,431.25","450.00","4.35","105.37"
"SJVN","117.60","122.80","116.71","117.05","120.98","-","3.93","3.36","2,00,24,888","241.70","170.50","81.05","3.07","38.60"
"CESC","192.45","203.80","191.41","191.57","198.00","-","6.43","3.36","2,10,98,222","420.64","212.49","109.75","5.13","60.98"
"TATAMOTORS","793.00","818.85","785.30","792.55","818.00","-","25.45","3.21","1,97,16,389","1,582.36","1,179.00","696.25","-5.16","9.70"
"NHPC","82.40","86.84","81.97","82.18","84.80","-","2.62","3.19","7,11,49,331","606.90","118.40","58.00","2.49","36.51"
"CENTURYPLY","764.20","791.25","759.65","764.20","788.50","-","24.30","3.18","1,71,808","13.41","935.00","622.10","-9.65","12.15"
"IFCI","65.14","68.40","64.43","65.15","67.20","-","2.05","3.15","2,33,89,852","155.87","91.40","26.45","12.99","138.64"
"INDIGO","4,388.00","4,505.00","4,376.15","4,368.55","4,505.00","-","136.45","3.12","5,46,985","242.26","5,035.00","2,819.55","10.85","52.10"
"IRB","57.45","59.46","57.32","57.13","58.91","-","1.78","3.12","2,36,75,714","139.00","78.15","36.85","10.76","53.37"
"NEWGEN","1,316.00","1,364.00","1,316.00","1,309.45","1,350.00","-","40.55","3.10","5,33,588","71.86","1,548.00","675.00","2.31","-"
"IRCON","219.50","228.71","218.20","219.17","225.90","-","6.73","3.07","82,81,438","186.37","351.60","157.55","3.31","27.46"
"FORTIS","693.95","716.85","688.00","693.95","714.95","-","21.00","3.03","18,06,463","127.46","740.35","375.05","13.01","79.80"
"JYOTHYLAB","415.95","425.40","413.05","412.45","424.80","-","12.35","2.99","9,28,977","38.98","595.85","366.80","-16.07","-13.48"
"LALPATHLAB","2,983.00","3,086.35","2,979.75","2,985.50","3,074.85","-","89.35","2.99","3,14,751","96.04","3,653.95","1,943.70","-2.78","11.25"
"INOXINDIA","1,173.85","1,208.15","1,157.55","1,164.20","1,199.00","-","34.80","2.99","1,59,573","19.00","1,506.90","801.55","4.10","-"
"MAHSEAMLES","745.00","779.30","742.15","741.95","764.00","-","22.05","2.97","63,58,662","488.63","1,097.00","566.50","15.18","-28.20"
"PNCINFRA","311.80","319.00","310.40","309.60","318.80","-","9.20","2.97","7,73,234","24.39","574.80","281.60","-1.67","-12.01"
"IPCALAB","1,500.50","1,542.15","1,500.00","1,493.35","1,537.00","-","43.65","2.92","5,74,891","87.67","1,708.65","1,041.00","-6.48","32.57"
"TRITURBINE","743.50","764.85","733.00","739.85","761.25","-","21.40","2.89","12,86,761","96.33","885.00","350.35","11.67","74.93"
"VOLTAS","1,669.90","1,717.85","1,663.00","1,667.90","1,714.00","-","46.10","2.76","11,90,527","201.99","1,944.90","833.10","-1.58","97.37"
"NUVAMA","6,869.95","7,105.00","6,800.10","6,846.10","7,033.00","-","186.90","2.73","78,271","54.62","7,489.75","3,108.40","-2.84","110.87"
"EIHOTEL","403.00","414.50","400.90","402.25","413.00","-","10.75","2.67","10,88,531","44.57","502.20","222.45","13.12","68.20"
"RITES","293.60","300.00","293.20","287.40","295.00","-","7.60","2.64","57,40,409","170.58","412.98","235.48","-2.48","-39.70"
"PNBHOUSING","945.00","968.80","932.85","943.10","967.80","-","24.70","2.62","14,98,697","142.67","1,202.20","604.00","-4.32","20.22"
"ASAHIINDIA","726.80","779.90","721.55","723.40","742.00","-","18.60","2.57","14,19,750","108.05","833.95","501.55","2.05","29.28"
"VGUARD","426.20","439.00","423.75","426.45","437.00","-","10.55","2.47","2,57,040","11.07","577.45","283.35","-3.20","42.06"
"FINCABLES","1,303.10","1,342.75","1,280.95","1,303.10","1,335.00","-","31.90","2.45","6,25,476","82.66","1,700.00","831.25","7.96","24.01"
"ESCORTS","3,440.00","3,534.90","3,440.00","3,438.00","3,522.00","-","84.00","2.44","2,64,216","92.45","4,420.00","2,648.40","-7.23","6.60"
"CAMPUS","295.85","309.00","294.15","295.05","302.05","-","7.00","2.37","7,70,628","23.34","371.90","213.00","1.62","6.88"
"BAJAJ-AUTO","8,953.90","9,148.95","8,930.10","8,891.95","9,100.00","-","208.05","2.34","7,46,013","677.88","12,774.00","5,987.85","-9.95","46.49"
"BLS","422.70","432.95","420.00","420.35","430.00","-","9.65","2.30","33,95,902","145.56","474.40","262.95","1.77","49.03"
"RECLTD","545.60","562.50","544.55","545.00","557.50","-","12.50","2.29","1,06,25,077","591.34","654.00","389.20","3.61","36.05"
"SAPPHIRE","340.00","351.95","340.00","342.85","350.50","-","7.65","2.23","1,69,213","5.88","401.00","259.31","6.72","-75.75"
"FLUOROCHEM","4,305.00","4,395.00","4,297.15","4,261.25","4,356.00","-","94.75","2.22","2,93,492","127.59","4,880.95","2,476.00","0.02","50.25"
"AKUMS","613.00","635.00","608.75","608.90","622.25","-","13.35","2.19","3,81,358","23.81","1,175.90","530.05","-26.88","-"
"BIKAJI","805.25","843.50","805.25","801.30","818.80","-","17.50","2.18","4,92,373","40.60","1,007.95","476.10","-9.01","46.34"
"HFCL","129.80","134.88","127.57","129.36","132.15","-","2.79","2.16","3,33,63,370","438.19","171.00","65.95","1.20","94.67"
"SWANENERGY","712.00","736.00","701.65","705.40","720.30","-","14.90","2.11","74,14,828","535.16","782.25","429.00","42.29","60.46"
"GESHIP","1,085.85","1,112.55","1,081.60","1,076.80","1,099.20","-","22.40","2.08","6,20,563","68.33","1,543.70","852.80","-16.77","21.27"
"GODIGIT","341.70","350.00","340.60","339.90","346.90","-","7.00","2.06","3,50,989","12.10","407.40","278.55","0.55","-"
"BLUEDART","7,490.00","7,774.85","7,484.25","7,486.95","7,640.00","-","153.05","2.04","14,697","11.23","9,488.70","5,486.60","-5.21","3.25"
"PAYTM","959.60","991.25","942.00","955.85","975.35","-","19.50","2.04","1,12,23,467","1,087.87","991.25","310.00","25.04","17.56"
"KNRCON","333.90","343.90","328.60","332.40","339.10","-","6.70","2.02","12,22,888","41.41","415.40","236.75","13.84","21.45"
"WESTLIFE","814.60","837.35","782.35","796.20","812.15","-","15.95","2.00","5,16,062","41.68","957.00","674.45","4.10","-8.13"
"EXIDEIND","454.00","465.80","452.40","453.45","462.50","-","9.05","2.00","35,12,132","161.99","620.35","278.50","2.23","55.85"
"METROPOLIS","2,100.20","2,158.50","2,098.30","2,100.20","2,141.80","-","41.60","1.98","9,49,667","202.03","2,318.30","1,450.00","-2.28","25.93"
"JSL","723.00","744.70","721.65","728.85","743.00","-","14.15","1.94","4,93,516","36.43","848.00","504.35","5.65","35.85"
"GMDCLTD","359.70","366.30","357.00","358.05","365.00","-","6.95","1.94","11,32,323","41.11","506.00","308.80","-1.59","-17.41"
"TATAPOWER","433.80","442.50","433.25","430.85","438.95","-","8.10","1.88","1,73,72,018","760.74","494.85","280.20","-0.75","46.47"
"LEMONTREE","136.14","138.45","134.65","135.17","137.71","-","2.54","1.88","57,36,517","78.56","158.00","111.80","15.75","13.92"
"ANGELONE","3,180.00","3,328.85","3,070.00","3,221.70","3,281.00","-","59.30","1.84","43,69,501","1,404.72","3,896.00","2,025.00","10.49","2.53"
"HINDZINC","500.60","515.40","499.45","500.60","509.80","-","9.20","1.84","29,14,986","148.61","807.70","284.60","-10.55","53.72"
"IOC","140.65","143.54","140.30","139.44","142.00","-","2.56","1.84","2,06,86,656","293.92","196.80","116.60","-0.97","16.88"
"MOTHERSON","169.99","174.57","166.53","167.00","170.05","-","3.05","1.83","5,32,61,954","911.37","216.99","90.20","-9.32","77.94"
"CYIENT","1,955.00","2,001.80","1,942.85","1,953.80","1,989.30","-","35.50","1.82","4,35,755","86.13","2,458.95","1,651.50","4.37","-5.48"
"GUJGASLTD","505.95","516.00","500.20","502.15","511.25","-","9.10","1.81","7,79,898","39.82","689.95","431.25","-2.03","13.75"
"SUNDARMFIN","4,121.00","4,210.00","4,120.95","4,120.40","4,195.00","-","74.60","1.81","4,37,744","181.91","5,535.85","3,191.20","-16.25","21.53"
