"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 29-Aug-2023"
"NIFTY 500","23,618.25","23,664.35","23,494.45","23,615.95","23,631.40","15.45","0.07","2,98,04,29,915","1,11,781.61","23,679.35","16,466.25","0.95","39.51"
"TV18BRDCST","50.60","54.29","49.65","47.91","51.61","3.70","7.72","13,42,00,589","698.65","68.70","38.65","1.23","-1.11"
"GSPL","399.10","423.00","394.05","396.35","420.50","24.15","6.09","2,66,70,729","1,104.94","423.00","254.50","18.17","44.68"
"SONATSOFTW","645.95","678.95","641.40","624.50","662.00","37.50","6.00","1,00,77,221","661.65","870.00","469.60","-14.42","-38.71"
"GODFRYPHLP","5,826.80","6,548.95","5,765.05","5,798.70","6,140.00","341.30","5.89","8,80,382","550.05","6,548.95","1,992.10","35.95","167.70"
"CONCORDBIO","1,629.95","1,815.00","1,582.00","1,612.60","1,707.00","94.40","5.85","22,65,950","390.31","1,815.00","958.00","-4.34","66.62"
"LTTS","5,678.60","6,000.00","5,628.45","5,678.60","6,000.00","321.40","5.66","3,53,414","202.91","6,000.00","4,111.00","9.19","30.56"
"FINPIPE","298.45","327.70","294.35","297.45","313.75","16.30","5.48","53,53,808","167.91","355.90","185.80","-9.42","26.06"
"WHIRLPOOL","2,081.45","2,248.00","2,076.00","2,073.95","2,186.00","112.05","5.40","16,35,138","358.77","2,248.00","1,186.10","-3.60","26.90"
"PNBHOUSING","906.65","972.60","896.70","902.50","951.00","48.50","5.37","1,01,83,222","961.71","972.60","604.00","13.54","40.46"
"JMFINANCIL","102.00","113.30","101.29","101.85","106.90","5.05","4.96","5,22,36,371","570.84","114.85","69.00","-0.59","32.62"
"AMBER","4,401.00","4,592.70","4,384.90","4,379.40","4,560.00","180.60","4.12","5,38,395","243.21","4,888.00","2,721.05","-0.17","50.53"
"KEC","890.00","954.00","881.80","868.05","903.30","35.25","4.06","2,05,49,183","1,905.09","968.80","550.05","-0.70","28.51"
"MEDANTA","1,090.00","1,134.95","1,070.75","1,085.90","1,125.10","39.20","3.61","10,55,544","115.51","1,513.90","675.00","-11.61","55.41"
"TATAMOTORS","1,079.05","1,142.00","1,066.00","1,074.55","1,112.90","38.35","3.57","4,06,58,159","4,509.27","1,179.00","599.05","-4.40","76.98"
"VIPIND","466.10","493.75","466.10","462.40","478.10","15.70","3.40","28,01,991","135.61","722.85","428.50","-1.18","-30.46"
"PAYTM","559.00","564.80","540.10","538.00","555.00","17.00","3.16","91,75,132","504.99","998.30","310.00","8.90","-36.92"
"NETWORK18","98.53","106.00","98.30","96.19","99.20","3.01","3.13","3,39,00,337","346.39","135.70","62.80","2.81","38.60"
"PFC","546.00","556.50","540.45","539.25","555.50","16.25","3.01","1,95,14,561","1,071.27","580.00","200.44","-2.46","99.72"
"BSOFT","659.50","686.45","657.00","661.35","679.90","18.55","2.80","1,25,23,455","848.74","861.85","472.40","-8.04","33.96"
"SUNDARMFIN","4,645.85","4,800.00","4,607.55","4,665.50","4,795.00","129.50","2.78","92,167","43.03","4,998.00","2,570.35","8.18","79.62"
"ALLCARGO","69.50","74.49","69.11","69.28","71.20","1.92","2.77","2,04,51,956","148.13","98.00","58.63","7.38","-74.57"
"BRIGADE","1,170.00","1,212.00","1,166.35","1,173.60","1,205.05","31.45","2.68","3,70,295","44.24","1,453.10","565.00","-7.94","96.75"
"MHRIL","404.05","414.80","403.25","404.05","414.75","10.70","2.65","1,82,415","7.44","505.00","347.75","-12.75","0.21"
"J&KBANK","114.00","114.10","110.23","108.59","111.46","2.87","2.64","82,83,438","92.58","152.50","84.80","-3.64","25.03"
"BAJAJFINSV","1,716.00","1,772.00","1,711.55","1,713.50","1,758.30","44.80","2.61","55,08,206","966.75","1,772.00","1,419.05","5.96","13.97"
"IDEA","16.40","16.55","15.97","15.97","16.37","0.40","2.50","82,73,42,035","1,346.09","19.18","8.85","-0.50","79.44"
