"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 14-Aug-2023"
"NIFTY 500","22,765.65","22,778.95","22,599.95","22,705.80","22,672.65","-33.15","-0.15","2,35,76,17,612","89,102.14","23,637.75","16,466.25","-2.31","34.75"
"EPL","217.73","252.90","217.06","217.74","243.95","28.51","13.23","4,09,21,454","993.49","252.90","169.60","3.40","22.21"
"CHENNPETRO","903.00","984.30","899.05","895.10","968.00","72.90","8.14","50,28,015","480.79","1,275.00","347.90","-10.97","162.85"
"PAYTM","508.10","546.80","505.50","506.15","541.00","34.85","6.89","1,28,89,333","682.86","998.30","310.00","14.72","-37.62"
"POLICYBZR","1,484.05","1,709.95","1,484.05","1,482.65","1,570.80","88.15","5.95","1,09,69,737","1,764.55","1,709.95","661.30","9.09","115.24"
"EQUITASBNK","75.35","79.25","74.60","75.15","79.10","3.95","5.26","83,12,910","64.20","116.50","74.60","-14.56","-8.42"
"FSL","276.65","293.00","276.00","277.00","290.80","13.80","4.98","71,22,393","203.54","317.90","145.15","14.79","97.62"
"UNOMINDA","1,047.90","1,120.80","1,040.05","1,047.90","1,100.10","52.20","4.98","22,98,195","250.00","1,207.30","548.60","7.95","89.52"
"CHOLAHLDNG","1,518.50","1,596.60","1,511.95","1,504.15","1,570.00","65.85","4.38","8,69,270","135.95","1,649.80","885.10","6.02","68.34"
"RTNINDIA","82.45","85.40","81.52","80.41","83.90","3.49","4.34","3,17,08,491","264.80","94.85","46.35","5.49","74.63"
"ZFCVINDIA","15,375.00","16,016.00","15,050.20","15,359.80","15,999.90","640.10","4.17","7,174","11.02","18,250.00","12,700.00","-1.77","15.53"
"METROBRAND","1,279.55","1,364.00","1,226.25","1,269.65","1,321.50","51.85","4.08","2,77,317","35.43","1,441.20","985.55","-3.36","18.74"
"MAHLIFE","565.00","593.00","556.00","562.05","584.15","22.10","3.93","3,36,769","19.46","678.80","475.00","-3.18","14.26"
"ADANIENSOL","1,082.00","1,119.00","1,070.10","1,071.25","1,112.00","40.75","3.80","38,46,943","423.91","1,348.00","686.00","9.91","-"
"CYIENT","1,674.00","1,751.15","1,674.00","1,669.15","1,731.00","61.85","3.71","6,39,966","110.66","2,458.95","1,505.00","-6.69","11.68"
"SJVN","144.20","148.84","140.78","137.12","142.15","5.03","3.67","7,73,16,074","1,120.70","170.50","54.80","-7.58","146.97"
"USHAMART","330.00","344.00","327.15","330.00","340.90","10.90","3.30","17,19,556","57.78","427.80","252.80","-13.47","3.53"
"SONATSOFTW","590.50","609.95","587.00","583.80","603.00","19.20","3.29","11,78,964","70.87","870.00","469.60","-11.94","-41.50"
"MOTILALOFS","590.10","608.00","590.10","585.00","604.00","19.00","3.25","7,75,784","46.74","722.00","210.33","13.62","-36.15"
"PNBHOUSING","809.90","835.00","798.00","803.60","829.20","25.60","3.19","16,83,061","138.31","913.70","604.00","3.72","27.98"
"BAJAJHLDNG","9,179.05","9,460.00","9,151.00","9,148.90","9,436.00","287.10","3.14","56,696","52.63","10,075.00","6,627.90","-5.23","28.64"
"SBFC","81.46","85.15","80.85","81.46","84.00","2.54","3.12","31,34,928","26.25","98.00","72.40","3.13","-"
"MAZDOCK","4,855.00","5,077.00","4,680.30","4,833.60","4,984.00","150.40","3.11","34,64,474","1,706.36","5,860.00","1,719.00","-7.31","168.29"
"CERA","10,077.60","10,271.75","9,854.05","9,880.00","10,185.00","305.00","3.09","83,909","84.11","10,789.95","6,591.20","12.36","20.23"
"LAURUSLABS","421.70","432.80","417.70","419.85","432.75","12.90","3.07","30,03,256","127.85","484.30","349.40","-8.09","11.37"
"PCBL","376.85","403.30","374.60","374.95","386.25","11.30","3.01","97,61,330","383.08","419.85","152.70","36.73","151.50"
"LATENTVIEW","472.25","491.95","472.00","473.35","487.00","13.65","2.88","3,27,476","15.80","575.00","380.50","-","25.64"
"ABB","7,600.00","7,815.00","7,451.00","7,544.80","7,757.00","212.20","2.81","5,05,429","387.47","9,149.95","3,850.00","-5.99","78.13"
"FINCABLES","1,447.95","1,490.00","1,420.25","1,437.90","1,478.00","40.10","2.79","1,69,236","24.72","1,700.00","831.25","-7.80","45.44"
"MOTHERSON","184.00","188.79","183.15","180.70","184.85","4.95","2.75","3,27,51,332","609.08","208.88","86.80","-8.44","91.26"
"HBLPOWER","621.70","639.00","608.80","617.90","634.50","16.60","2.69","30,61,387","191.57","684.65","223.45","0.80","173.45"
"KAYNES","4,690.00","5,036.00","4,503.85","4,702.00","4,828.00","126.00","2.68","9,65,031","463.13","5,036.00","1,702.00","20.29","178.18"
"HSCL","459.00","468.10","441.10","453.90","465.00","11.10","2.45","16,06,931","73.40","491.40","159.05","11.28","177.18"
"BIRLACORPN","1,239.40","1,266.95","1,212.00","1,231.40","1,261.00","29.60","2.40","1,82,618","22.76","1,802.00","1,060.55","-20.22","16.40"
"CHOLAFIN","1,316.95","1,346.50","1,309.10","1,314.90","1,346.50","31.60","2.40","15,03,161","200.28","1,477.00","997.25","-4.92","29.50"
"REDINGTON","196.00","201.30","194.51","195.37","200.00","4.63","2.37","13,81,363","27.52","237.55","136.20","-3.90","33.81"
"IDEA","15.63","16.02","15.48","15.47","15.83","0.36","2.33","39,20,47,253","619.04","19.18","7.50","-5.34","96.15"
"TCS","4,209.00","4,306.20","4,188.15","4,196.95","4,293.00","96.05","2.29","32,26,545","1,376.36","4,431.00","3,311.00","3.02","24.51"
"JINDALSTEL","908.95","931.95","896.00","908.95","929.60","20.65","2.27","37,95,523","347.45","1,097.00","581.60","-7.81","40.39"
"BERGEPAINT","534.85","550.85","528.80","534.85","547.00","12.15","2.27","31,21,337","169.89","679.75","439.00","5.10","-21.76"
"KPITTECH","1,770.00","1,793.55","1,742.30","1,748.65","1,787.05","38.40","2.20","6,76,739","119.54","1,928.70","1,038.00","-2.88","58.61"
"HCLTECH","1,600.10","1,629.75","1,598.25","1,592.65","1,623.90","31.25","1.96","39,32,148","634.84","1,697.35","1,139.30","3.60","38.87"
"ISEC","799.00","812.00","786.60","785.90","801.00","15.10","1.92","26,18,066","209.85","866.45","607.85","4.43","29.93"
"SUNTECK","578.10","605.00","569.80","575.20","586.00","10.80","1.88","8,60,036","50.81","699.00","351.25","-4.35","60.30"
"NAUKRI","7,100.00","7,319.00","7,068.15","7,098.35","7,230.00","131.65","1.85","3,11,421","224.67","7,327.75","3,972.05","5.83","68.13"
"LTTS","4,859.00","4,937.40","4,806.55","4,823.45","4,911.65","88.20","1.83","81,995","40.15","5,873.35","4,111.00","-1.48","15.68"
"DELHIVERY","408.50","422.00","400.00","408.10","415.55","7.45","1.83","36,96,755","152.96","488.00","354.20","9.66","-0.07"
